id,nacionalidad
1,afgano
2,albano
3,alemán
4,americano
5,andorrano
6,angolano
7,antiguano
8,argelino
9,argentino
10,armenio
11,australiano
12,austriaco
13,azerbaiyano
14,bahameño
15,bangladesí
16,barbadense
17,bareiní
18,belga
19,beliceño
20,beninés
21,bieloruso
22,birmano
23,boliviano
24,bosnio
25,botsuano
26,brasileño
27,británico
28,bruneano
29,búlgaro
30,burkinés
31,burundés
32,caboverdiano
33,camboyano
34,camerunés
35,canadiense
36,ceilandés
37,centroafricano
38,chadiano
39,checo
40,chileno
41,chino
42,chipriota
43,colombiano
44,comorense
45,congoleño
46,costarricense
47,croata
48,cubano
49,danés
50,dominicano
51,dominiqués
52,ecuatoguineano
53,ecuatoriano
54,egipcio
55,eritreo
56,eslovaco
58,español
59,estonio
60,etíope
61,filipino
62,finés
63,francés
64,gabonés
65,gambiano
66,georgiano
67,ghanés
68,granadino
69,greco-chipriota
70,griego
71,groenlandés
72,guañano
73,guatemalteco
74,Guineano
76,haitiano
77,holandés
78,hondureño
79,húngaro
80,indio
81,indionisio
82,iraní
83,iraquí
84,irlandés
85,islandés
86,israelí
87,italiano
88,jamaicano
89,japonés
90,jemení
91,jordano
92,katarí
93,kazajo
94,keniata
95,kirguís
96,kiribatiano
97,kuwaití
98,laosiano
99,lesotense
100,letonio
101,libanés
102,liberiano
103,libio
104,liechtensteiniano
105,lituano
106,luxemburgés
107,macedonio
108,malauí
109,malayo
110,maldivo
111,malgache
112,maliense
113,maltés
114,marfileño
115,marroquí
116,marshalés
117,mauriciano
118,mauritano
119,mexicano
120,moldavo
121,monaqués
122,mongól
123,montenegrino
124,mozambiqueño
125,namibio
126,nauruano
127,neozelandés
128,nicaraguense
129,nigeriano
130,niuano
131,norcoreano
132,noruego
133,omanés
134,pakistaní
135,panameño
136,papú
137,paraguayo
138,peruano
139,polaco
140,portugués
141,ruandés
142,rumano
143,ruso
144,salomonense
145,salvadoreño
146,samoano
147,sanmarinense
148,sanvicentino
149,saudí
150,senegalés
151,serbio
152,seychelense
153,sierraleonés
154,singapurense
155,sirio
156,somalí
157,suazi
158,sudafricano
159,sudanés
160,sueco
161,suizo
162,surcoreano
163,surinamés
164,tailandés
165,tanzano
166,timorense
167,togolés
168,tongano
169,tunecino
170,turco
171,tuvaluano
172,ucraniano
173,ugandés
174,uruguayo
175,uzbeco
176,vanuatuense
177,vaticano
178,venezolano
179,vietnamita
180,zambiano
181,zimbabuense
